form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,source,page,language_id
hmar123,mu,2.sg.1.sg.fut.neg,mi m̥u nɔ ti niʔ,miΣnɔtiniʔ,m i Σ n ɔ t i n i ʔ,mi+Σ+nɔ+ti+niʔ,m i + Σ + n ɔ + t i + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar124,mu,2.sg.1.pl.excl.fut.neg,i mi m̥u nɔ diŋ,imiΣnɔdiŋ,i m i Σ n ɔ d i ŋ,i+mi+Σ+nɔ+diŋ,i + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar125,mu,2.sg.1.pl.excl.fut.neg,mi m̥u nɔ ti niʔ,miΣnɔtiniʔ,m i Σ n ɔ t i n i ʔ,mi+Σ+nɔ+ti+niʔ,m i + Σ + n ɔ + t i + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar126,mu,2.pl.1.sg.fut.neg,mi m̥u nɔ-ŋ in tiʔ,miΣnɔŋitiʔ,m i Σ n ɔ ŋ i t i ʔ,mi+Σ+nɔ+ŋ+i+tiʔ,m i + Σ + n ɔ + ŋ + i + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar127,mu,2.pl.1.sg.fut.neg,in mi m̥u nɔ diŋ,inmiΣnɔdiŋ,i n m i Σ n ɔ d i ŋ,i+n+mi+Σ+nɔ+diŋ,i + n + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar128,mu,2.pl.1.sg.fut.neg,mi m̥u nɔ ti niu,miΣnɔtiniu,m i Σ n ɔ t i n i u,mi+Σ+nɔ+ti+ni+u,m i + Σ + n ɔ + t i + n i + u,emph,Infimate2025Hmar,nopage,hmar
hmar129,mu,2.pl.1.pl.excl.fut.neg,mi m̥u nɔ-ŋ in tiʔ,miΣnɔŋintiʔ,m i Σ n ɔ ŋ i n t i ʔ,mi+Σ+nɔ+ŋ+i+n+tiʔ,m i + Σ + n ɔ + ŋ + i + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar130,mu,2.pl.1.pl.excl.fut.neg,in mi m̥u nɔ diŋ,inmiΣnɔdiŋ,i n m i Σ n ɔ d i ŋ,i+n+mi+Σ+nɔ+diŋ,i + n + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar131,mu,2.pl.1.pl.excl.fut.neg,mi m̥u nɔ ti niu,miΣnɔtiniu,m i Σ n ɔ t i n i u,mi+Σ+nɔ+ti+ni+u,m i + Σ + n ɔ + t i + n i + u,emph,Infimate2025Hmar,nopage,hmar
hmar132,mu,2.sg.3.sg.fut.neg,m̥u nɔ-ŋ i tiʔ,Σnɔŋitiʔ,Σ n ɔ ŋ i t i ʔ,Σ+nɔ+ŋ+i+tiʔ,Σ + n ɔ + ŋ + i + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar133,mu,2.sg.3.sg.fut.neg,i m̥u nɔ diŋ,iΣnɔdiŋ,i Σ n ɔ d i ŋ,i+Σ+nɔ+diŋ,i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar134,mu,2.sg.3.sg.fut.neg,m̥u nɔ ti niʔ,Σnɔtiniʔ,Σ n ɔ t i n i ʔ,Σ+nɔ+ti+niʔ,Σ + n ɔ + t i + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar135,mu,2.sg.3.pl.fut.neg,m̥u nɔ-ŋ i tiʔ,Σnɔŋitiʔ,Σ n ɔ ŋ i t i ʔ,Σ+nɔ+ŋ+i+tiʔ,Σ + n ɔ + ŋ + i + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar136,mu,2.sg.3.pl.fut.neg,i m̥u nɔ diŋ,iΣnɔdiŋ,i Σ n ɔ d i ŋ,i+Σ+nɔ+diŋ,i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar137,mu,2.sg.3.pl.fut.neg,m̥u nɔ ti niʔ,Σnɔtiniʔ,Σ n ɔ t i n i ʔ,Σ+nɔ+ti+niʔ,Σ + n ɔ + t i + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar138,mu,2.pl.3.sg.fut.neg,m̥u nɔ-ŋ in tiʔ,Σnɔŋintiʔ,Σ n ɔ ŋ i n t i ʔ,Σ+nɔ+ŋ+i+n+tiʔ,Σ + n ɔ + ŋ + i + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar139,mu,2.pl.3.sg.fut.neg,in m̥u nɔ diŋ,inΣnɔdiŋ,i n Σ n ɔ d i ŋ,i+n+Σ+nɔ+diŋ,i + n + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar140,mu,2.pl.3.pl.fut.neg,m̥u nɔ-ŋ in tiʔ,Σnɔŋintiʔ,Σ n ɔ ŋ i n t i ʔ,Σ+nɔ+ŋ+i+n+tiʔ,Σ + n ɔ + ŋ + i + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar141,mu,2.pl.3.pl.fut.neg,in m̥u nɔ diŋ,inΣnɔdiŋ,i n Σ n ɔ d i ŋ,i+n+Σ+nɔ+diŋ,i + n + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar142,fe,3.sg.fut.neg,fe nɔŋ a tiʔ ,Σnɔŋatiʔ,Σ n ɔ ŋ a t i ʔ,Σ+nɔ+ŋ+a+tiʔ,Σ + n ɔ + ŋ + a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar143,fe,3.sg.fut.neg,a fe nɔ diŋ ,aΣnɔdiŋ,a Σ n ɔ d i ŋ,a+Σ+nɔ+diŋ,a + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar144,fe,3.sg.fut.neg,fe nɔ niʔ ,Σnɔniʔ,Σ n ɔ n i ʔ,Σ+nɔ+niʔ,Σ + n ɔ + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar145,fe,3.pl.fut.neg,fe nɔŋ an tiʔ ,Σnɔŋantiʔ,Σ n ɔ ŋ a n t i ʔ,Σ+nɔ+ŋ+a+n+tiʔ,Σ + n ɔ + ŋ + a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar146,fe,3.pl.fut.neg,fe nɔ ni-hai ,Σnɔnihai,Σ n ɔ n i h a i,Σ+nɔ+ni+hai,Σ + n ɔ + n i + h a i,emph,Infimate2025Hmar,nopage,hmar
hmar147,fe,3.pl.fut.neg,an fe nɔ diŋ ,anΣnɔdiŋ,a n Σ n ɔ d i ŋ,a+n+Σ+nɔ+diŋ,a + n + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar148,mu,3.sg.1.sg.fut.neg,mi m̥u nɔ-ŋ a tiʔ,miΣnɔŋatiʔ,m i Σ n ɔ ŋ a t i ʔ,mi+Σ+nɔ+ŋ+a+tiʔ,m i + Σ + n ɔ + ŋ + a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar149,mu,3.sg.1.sg.fut.neg,a mi m̥u nɔ diŋ,amiΣnɔdiŋ,a m i Σ n ɔ d i ŋ,a+mi+Σ+nɔ+diŋ,a + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar150,mu,3.sg.1.sg.fut.neg,mi m̥u nɔ niʔ,miΣnɔni,m i Σ n ɔ n i,mi+Σ+nɔ+ni,m i + Σ + n ɔ + n i,emph,Infimate2025Hmar,nopage,hmar
hmar151,mu,3.sg.1.pl.excl.fut.neg,mi m̥u nɔ-ŋ a tiʔ,miΣnɔŋatiʔ,m i Σ n ɔ ŋ a t i ʔ,mi+Σ+nɔ+ŋ+a+tiʔ,m i + Σ + n ɔ + ŋ + a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
